user_id	inter_seq	scene	target	pred_path
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	343	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	321	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	323	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	300	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	294	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	295	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	35	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	297	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	316	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	346	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	218	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	223	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223]
1	[305, 172, 54, 314, 1, 350, 352, 301]	3	306	[302, 310, 312, 337, 319, 311, 336, 210, 341, 343, 321, 323, 300, 294, 295, 35, 297, 316, 346, 218, 223, 306]
